Timepoint,Fragment ,Treatment,Temperature,T-T,Height 1,Height 2,Height 3,H.AVG,Planar 1,Planar 2,Planar 3,P.AVG,SA,RGR
T0,P-1-1,C,AMB,C-AMB,2.828,2.785,2.802,2.8050,7.549,7.568,7.668,7.595,21.304,1
T3,P-1-1,C,AMB,C-AMB,3.093,3.054,3.064,3.0703,8.553,8.656,8.561,8.590,26.374,1.237992597
T0,P-1-10,I,HEAT,I-HEAT,2.683,2.705,2.683,2.6903,5.165,5.100,5.107,5.124,13.785,1
T3,P-1-10,I,HEAT,I-HEAT,2.989,2.999,2.999,2.9957,4.905,5.135,5.154,5.065,15.172,1.100599068
T0,P-1-11,G,AMB,G-AMB,2.478,2.368,2.389,2.4117,7.315,7.418,7.504,7.412,17.876,1
T3,P-1-11,G,AMB,G-AMB,2.945,2.918,2.936,2.9330,8.504,8.336,8.454,8.431,24.729,1.383362824
T0,P-1-12,G,AMB,G-AMB,2.471,2.51,2.519,2.5000,7.389,7.493,7.414,7.432,18.580,1
T3,P-1-12,G,AMB,G-AMB,2.633,2.643,2.585,2.6203,9.387,9.114,9.039,9.180,24.055,1.294653391
T0,P-1-15,G,HEAT,G-HEAT,3.283,3.272,3.293,3.2827,10.866,10.860,10.825,10.850,35.618,1
T3,P-1-15,G,HEAT,G-HEAT,3.399,3.408,3.398,3.4017,11.309,11.204,11.070,11.194,38.079,1.069104416
T0,P-1-16,E,AMB,E-AMB,4.039,4.039,4.048,4.0420,8.661,8.634,8.635,8.643,34.936,1
T3,P-1-16,E,AMB,E-AMB,4.514,4.496,4.541,4.5170,9.128,9.129,9.020,9.092,41.070,1.175568305
T0,P-1-17,E,AMB,E-AMB,4.111,4.131,4.111,4.1177,7.487,7.513,7.571,7.524,30.980,1
T3,P-1-17,E,AMB,E-AMB,4.373,4.339,4.373,4.3617,8.153,8.331,8.363,8.282,36.125,1.166069524
T0,P-1-2,C,AMB,C-AMB,2.256,2.274,2.292,2.2740,5.646,5.685,5.626,5.652,12.853,1
T3,P-1-2,C,AMB,C-AMB,2.297,2.268,2.278,2.2810,6.667,6.664,6.659,6.663,15.199,1.182493055
T0,P-1-20,E,HEAT,E-HEAT,2.379,2.4,2.41,2.3963,7.762,7.418,7.522,7.567,18.134,1
T3,P-1-20,E,HEAT,E-HEAT,2.475,2.484,2.514,2.4910,8.372,8.281,8.300,8.318,20.719,1.142576128
T0,P-1-22,C,HEAT,C-HEAT,4.65,4.592,4.604,4.6153,8.233,8.169,8.119,8.174,37.724,1
T3,P-1-22,C,HEAT,C-HEAT,4.087,4.087,4.078,4.0840,8.962,8.781,8.929,8.891,36.309,0.9624985103
T0,P-1-23,I,HEAT,I-HEAT,4.251,4.241,4.232,4.2413,8.195,8.070,8.141,8.135,34.505,1
T3,P-1-23,I,HEAT,I-HEAT,3.175,3.147,3.175,3.1657,9.014,9.089,9.401,9.168,29.023,0.8411278832
T0,P-1-24,G,HEAT,G-HEAT,4.319,4.318,4.288,4.3083,10.494,10.491,10.388,10.458,45.055,1
T3,P-1-24,G,HEAT,G-HEAT,3.49,3.49,3.49,3.4900,11.420,11.385,11.177,11.327,39.532,0.8774230031
T0,P-1-25,E,HEAT,E-HEAT,2.375,2.375,2.374,2.3747,6.080,5.969,5.876,5.975,14.189,1
T3,P-1-25,E,HEAT,E-HEAT,2.575,2.575,2.575,2.5750,6.598,6.530,6.591,6.573,16.925,1.192889731
T0,P-1-5,C,HEAT,C-HEAT,2.768,2.747,2.736,2.7503,4.084,4.177,4.127,4.129,11.357,1
T3,P-1-5,C,HEAT,C-HEAT,3.066,3.075,3.056,3.0657,4.600,4.474,4.506,4.527,13.877,1.221907056
T0,P-1-6,I,AMB,I-AMB,2.738,2.701,2.737,2.7253,6.964,6.886,7.054,6.968,18.990,1
T3,P-1-6,I,AMB,I-AMB,2.881,2.899,2.89,2.8900,8.147,8.118,8.058,8.108,23.431,1.233860206
T0,P-1-7,I,AMB,I-AMB,2.281,2.273,2.239,2.2643,5.720,5.531,5.522,5.591,12.660,1
T3,P-1-7,I,AMB,I-AMB,2.212,2.249,2.23,2.2303,6.196,6.097,6.179,6.157,13.733,1.084757317
T0,P-2-1,C,AMB,C-AMB,2.988,2.988,3.014,2.9967,9.611,9.470,9.442,9.508,28.491,1
T3,P-2-1,C,AMB,C-AMB,3.25,3.25,3.279,3.2597,10.665,10.747,10.576,10.663,34.757,1.219906765
T0,P-2-10,I,HEAT,I-HEAT,2.957,2.976,2.957,2.9633,9.658,9.739,9.494,9.630,28.538,1
T3,P-2-10,I,HEAT,I-HEAT,3.514,3.485,3.446,3.4817,9.898,9.844,9.725,9.822,34.198,1.198339934
T0,P-2-11,G,AMB,G-AMB,3.58,3.56,3.58,3.5733,11.105,10.676,10.954,10.912,38.991,1
T3,P-2-11,G,AMB,G-AMB,3.717,3.717,3.65,3.6947,12.964,12.737,13.013,12.905,47.678,1.222805637
T0,P-2-12,G,AMB,G-AMB,3.17,3.137,3.186,3.1643,8.758,8.772,8.666,8.732,27.631,1
T3,P-2-12,G,AMB,G-AMB,3.18,3.191,3.151,3.1740,9.607,9.372,9.469,9.483,30.098,1.089284826
T0,P-2-15,G,HEAT,G-HEAT,2.529,2.529,2.462,2.5067,11.397,11.303,11.424,11.375,28.512,1
T3,P-2-15,G,HEAT,G-HEAT,3.478,3.488,3.459,3.4750,11.102,11.107,11.179,11.129,38.674,1.356402853
T0,P-2-16,E,AMB,E-AMB,3.482,3.471,3.461,3.4713,7.878,7.899,7.836,7.871,27.323,1
T3,P-2-16,E,AMB,E-AMB,3.691,3.775,3.756,3.7407,7.526,7.507,7.584,7.539,28.201,1.032135039
T0,P-2-17,E,AMB,E-AMB,3.496,3.506,3.486,3.4960,7.663,7.672,7.699,7.678,26.842,1
T3,P-2-17,E,AMB,E-AMB,3.666,3.656,3.705,3.6757,8.367,8.423,8.280,8.357,30.716,1.144325741
T0,P-2-2,C,AMB,C-AMB,3.635,3.592,3.617,3.6147,6.296,6.191,6.300,6.262,22.636,1
T3,P-2-2,C,AMB,C-AMB,3.868,3.82,3.849,3.8457,7.564,7.415,7.366,7.448,28.644,1.265395563
T0,P-2-20,E,HEAT,E-HEAT,4.586,4.586,4.586,4.5860,10.847,10.902,10.929,10.893,49.954,1
T3,P-2-20,E,HEAT,E-HEAT,4.661,4.651,4.614,4.6420,11.271,11.060,11.026,11.119,51.614,1.033243311
T0,P-2-22,C,HEAT,C-HEAT,3.796,3.806,3.796,3.7993,9.142,9.266,9.190,9.199,34.951,1
T3,P-2-22,C,HEAT,C-HEAT,3.827,3.846,3.779,3.8173,10.070,9.938,9.806,9.938,37.937,1.085413762
T0,P-2-23,I,HEAT,I-HEAT,2.849,2.849,2.838,2.8453,8.119,8.120,8.117,8.119,23.100,1
T3,P-2-23,I,HEAT,I-HEAT,3.062,3.033,3.052,3.0490,8.167,8.297,8.170,8.211,25.036,1.083810226
T0,P-2-24,G,HEAT,G-HEAT,3.165,3.111,3.133,3.1363,9.745,9.896,9.729,9.790,30.705,1
T3,P-2-24,G,HEAT,G-HEAT,4.437,4.41,4.401,4.4160,10.704,10.927,10.588,10.740,47.426,1.544596197
T0,P-2-25,E,HEAT,E-HEAT,3.669,3.648,3.598,3.6383,13.496,13.207,13.365,13.356,48.594,1
T3,P-2-25,E,HEAT,E-HEAT,3.792,3.754,3.745,3.7637,13.608,13.795,13.612,13.672,51.456,1.058897001
T0,P-2-5,C,HEAT,C-HEAT,3.389,3.347,3.316,3.3507,9.840,9.899,9.980,9.906,33.193,1
T3,P-2-5,C,HEAT,C-HEAT,3.417,3.465,3.426,3.4360,9.730,9.503,9.596,9.610,33.019,0.9947577151
T0,P-2-6,I,AMB,I-AMB,3.491,3.438,3.482,3.4703,11.165,11.199,11.146,11.170,38.764,1
T3,P-2-6,I,AMB,I-AMB,3.588,3.597,3.579,3.5880,12.925,12.962,12.937,12.941,46.434,1.197862842
T0,P-2-7,I,AMB,I-AMB,3.759,3.732,3.707,3.7327,6.328,6.348,6.447,6.374,23.793,1
T3,P-2-7,I,AMB,I-AMB,3.982,3.973,3.964,3.9730,7.088,7.100,6.958,7.049,28.004,1.176986711
T0,P-3-1,C,AMB,C-AMB,3.654,3.575,3.636,3.6217,7.235,7.240,7.226,7.234,26.198,1
T3,P-3-1,C,AMB,C-AMB,3.723,3.723,3.685,3.7103,7.302,7.304,7.337,7.314,27.139,1.035906858
T0,P-3-10,I,HEAT,I-HEAT,3.704,3.743,3.666,3.7043,8.885,8.870,8.940,8.898,32.962,1
T3,P-3-10,I,HEAT,I-HEAT,4.009,3.97,3.97,3.9830,8.551,8.588,8.585,8.575,34.153,1.036117055
T0,P-3-11,G,AMB,G-AMB,4.038,4,4.038,4.0253,6.565,6.709,6.717,6.664,26.823,1
T3,P-3-11,G,AMB,G-AMB,4.112,4.094,4.103,4.1030,7.418,7.339,7.341,7.366,30.223,1.126725485
T0,P-3-12,G,AMB,G-AMB,4.422,4.422,4.404,4.4160,10.099,10.178,10.377,10.218,45.123,1
T3,P-3-12,G,AMB,G-AMB,4.562,4.494,4.503,4.5197,9.851,9.886,10.073,9.937,44.910,0.9952957836
T0,P-3-16,E,AMB,E-AMB,3.121,3.154,3.121,3.1320,7.460,7.276,7.422,7.386,23.133,1
T3,P-3-16,E,AMB,E-AMB,3.34,3.331,3.322,3.3310,6.929,6.867,6.870,6.889,22.946,0.9919247948
T0,P-3-17,E,AMB,E-AMB,3.915,3.916,3.905,3.9120,6.953,7.070,6.951,6.991,27.350,1
T3,P-3-17,E,AMB,E-AMB,3.975,3.943,3.942,3.9533,6.799,6.826,6.768,6.798,26.873,0.9825721351
T0,P-3-2,C,AMB,C-AMB,4.435,4.409,4.418,4.4207,6.164,5.874,6.019,6.019,26.608,1
T3,P-3-2,C,AMB,C-AMB,4.45,4.459,4.46,4.4563,6.375,6.383,6.344,6.367,28.375,1.066407381
T0,P-3-20,E,HEAT,E-HEAT,5.047,5.156,5.156,5.1197,9.675,9.515,9.674,9.621,49.258,1
T3,P-3-20,E,HEAT,E-HEAT,5.285,5.237,5.286,5.2693,10.874,10.541,10.540,10.652,56.127,1.139452677
T0,P-3-22,C,HEAT,C-HEAT,3.976,3.999,3.976,3.9837,7.846,7.996,7.913,7.918,31.544,1
T3,P-3-22,C,HEAT,C-HEAT,3.979,3.969,3.978,3.9753,7.722,7.696,7.686,7.701,30.615,0.9705606953
T0,P-3-23,I,HEAT,I-HEAT,2.44,2.44,2.44,2.4400,7.606,7.376,7.647,7.543,18.405,1
T3,P-3-23,I,HEAT,I-HEAT,3.852,3.878,3.869,3.8663,8.496,8.327,8.364,8.396,32.460,1.763683074
T0,P-3-25,E,HEAT,E-HEAT,4.252,4.313,4.323,4.2960,6.989,7.086,7.214,7.096,30.486,1
T3,P-3-25,E,HEAT,E-HEAT,4.494,4.484,4.456,4.4780,7.479,7.486,7.521,7.495,33.564,1.100973234
T0,P-3-5,C,HEAT,C-HEAT,3.153,3.153,3.175,3.1603,6.784,6.756,6.824,6.788,21.452,1
T3,P-3-5,C,HEAT,C-HEAT,3.018,3.018,3,3.0120,6.936,7.028,6.959,6.974,21.007,0.979226014
T0,P-3-6,I,AMB,I-AMB,3.061,3,3.052,3.0377,7.265,7.115,7.105,7.162,21.755,1
T3,P-3-6,I,AMB,I-AMB,3.115,3.149,3.123,3.1290,7.110,7.036,7.154,7.100,22.216,1.021197383
T0,P-3-7,I,AMB,I-AMB,3.67,3.627,3.627,3.6413,7.814,7.923,7.920,7.886,28.714,1
T3,P-3-7,I,AMB,I-AMB,3.625,3.634,3.634,3.6310,8.432,8.337,8.449,8.406,30.522,1.062959659
T0,P-4-1,C,AMB,C-AMB,4.046,4.029,4.02,4.0317,7.026,6.959,6.887,6.957,28.050,1
T3,P-4-1,C,AMB,C-AMB,4.178,4.159,4.159,4.1653,7.325,7.298,7.270,7.298,30.397,1.083693216
T0,P-4-10,I,HEAT,I-HEAT,4.351,4.35,4.33,4.3437,5.482,5.287,5.220,5.330,23.150,1
T3,P-4-10,I,HEAT,I-HEAT,4.426,4.416,4.359,4.4003,5.405,5.478,5.452,5.445,23.960,1.034968001
T0,P-4-11,G,AMB,G-AMB,4.47,4.461,4.442,4.4577,5.347,5.383,5.379,5.370,23.936,1
T3,P-4-11,G,AMB,G-AMB,4.698,4.65,4.688,4.6787,6.300,6.205,6.180,6.228,29.140,1.217416085
T0,P-4-12,G,AMB,G-AMB,4.375,4.393,4.339,4.3690,6.142,6.170,6.104,6.139,26.820,1
T3,P-4-12,G,AMB,G-AMB,4.405,4.453,4.415,4.4243,7.557,7.361,7.521,7.480,33.093,1.233883019
T0,P-4-15,G,HEAT,G-HEAT,3.865,3.834,3.844,3.8477,5.562,5.946,5.741,5.750,22.123,1
T3,P-4-15,G,HEAT,G-HEAT,3.822,3.831,3.821,3.8247,5.561,5.657,5.649,5.622,21.504,0.9720085221
T0,P-4-16,E,AMB,E-AMB,3.463,3.483,3.513,3.4863,5.707,5.714,5.735,5.719,19.937,1
T3,P-4-16,E,AMB,E-AMB,3.654,3.654,3.715,3.6743,5.650,5.573,5.574,5.599,20.573,1.031870815
T0,P-4-17,E,AMB,E-AMB,4.881,4.871,4.861,4.8710,8.844,8.686,8.742,8.757,42.657,1
T3,P-4-17,E,AMB,E-AMB,4.887,4.86,4.879,4.8753,9.143,9.079,9.097,9.106,44.396,1.040777386
T0,P-4-2,C,AMB,C-AMB,3.885,3.876,3.841,3.8673,9.021,8.733,8.637,8.797,34.021,1
T3,P-4-2,C,AMB,C-AMB,3.745,3.755,3.745,3.7483,10.028,10.113,10.150,10.097,37.847,1.112459894
T0,P-4-20,E,HEAT,E-HEAT,4.682,4.635,4.635,4.6507,11.345,11.171,11.111,11.209,52.129,1
T3,P-4-20,E,HEAT,E-HEAT,4.689,4.671,4.699,4.6863,11.621,11.344,11.563,11.509,53.937,1.034668584
T0,P-4-22,C,HEAT,C-HEAT,2.43,2.412,2.431,2.4243,7.705,7.720,7.784,7.736,18.755,1
T3,P-4-22,C,HEAT,C-HEAT,4.251,4.278,4.297,4.2753,8.289,8.329,8.227,8.282,35.407,1.887818425
T0,P-4-23,I,HEAT,I-HEAT,2.467,2.487,2.447,2.4670,8.110,8.054,7.967,8.044,19.844,1
T3,P-4-23,I,HEAT,I-HEAT,4.7,4.637,4.61,4.6490,8.055,8.243,8.036,8.111,37.710,1.900328058
T0,P-4-24,G,HEAT,G-HEAT,3.049,3.005,3.005,3.0197,7.998,7.960,7.884,7.947,23.998,1
T3,P-4-24,G,HEAT,G-HEAT,3.154,3.072,3.136,3.1207,7.725,7.512,7.528,7.588,23.681,0.9867641167
T0,P-4-25,E,HEAT,E-HEAT,4.057,4.077,4.087,4.0737,10.168,9.864,10.030,10.021,40.821,1
T3,P-4-25,E,HEAT,E-HEAT,4.285,4.285,4.249,4.2730,10.421,10.436,10.414,10.424,44.540,1.09111695
T0,P-4-5,C,HEAT,C-HEAT,3.866,3.911,3.877,3.8847,8.205,8.126,7.991,8.107,31.494,1
T3,P-4-5,C,HEAT,C-HEAT,4.845,4.817,4.893,4.8517,8.261,8.029,8.278,8.189,39.732,1.261559433
T0,P-4-6,I,AMB,I-AMB,4.779,4.814,4.85,4.8143,9.123,9.031,9.104,9.086,43.743,1
T3,P-4-6,I,AMB,I-AMB,5.082,5.12,5.158,5.1200,11.576,11.491,11.617,11.561,59.194,1.353221829
T0,P-4-7,I,AMB,I-AMB,3.243,3.215,3.197,3.2183,5.602,5.516,5.305,5.474,17.618,1
T3,P-4-7,I,AMB,I-AMB,3.421,3.421,3.439,3.4270,6.209,6.201,6.349,6.253,21.429,1.216298781
T0,P-5-1,C,AMB,C-AMB,2.987,2.996,2.951,2.9780,12.652,12.673,12.582,12.636,37.629,1
T3,P-5-1,C,AMB,C-AMB,2.828,2.848,2.809,2.8283,14.315,14.181,14.107,14.201,40.165,1.06739869
T0,P-5-10,I,HEAT,I-HEAT,3.417,3.417,3.407,3.4137,8.023,7.924,7.916,7.954,27.153,1
T3,P-5-10,I,HEAT,I-HEAT,2.942,2.933,2.933,2.9360,8.348,8.181,8.188,8.239,24.190,0.8908521986
T0,P-5-11,G,AMB,G-AMB,3.501,3.385,3.502,3.4627,8.549,8.420,8.365,8.445,29.241,1
T3,P-5-11,G,AMB,G-AMB,3.642,3.67,3.633,3.6483,9.676,9.575,9.786,9.679,35.312,1.207624189
T0,P-5-12,G,AMB,G-AMB,2.843,2.843,2.817,2.8343,7.284,7.436,7.470,7.397,20.965,1
T3,P-5-12,G,AMB,G-AMB,2.947,2.937,2.918,2.9340,8.093,8.073,8.063,8.076,23.696,1.130283461
T0,P-5-15,G,HEAT,G-HEAT,3.761,3.794,3.783,3.7793,9.233,8.912,8.987,9.044,34.180,1
T3,P-5-15,G,HEAT,G-HEAT,4.088,4.051,4.042,4.0603,8.236,8.336,8.325,8.299,33.697,0.9858519537
T0,P-5-16,E,AMB,E-AMB,3.016,3.006,2.985,3.0023,9.501,9.406,9.338,9.415,28.267,1
T3,P-5-16,E,AMB,E-AMB,2.987,3.027,3.017,3.0103,9.496,9.496,9.604,9.532,28.694,1.015124685
