Date,Treatment,true.value,DHH
7/24/2023,AMB-Control,26.39739023,
7/24/2023,AMB-Effluent,26.26107751,
7/24/2023,AMB-Guano,26.14800627,
7/24/2023,AMB-Inorganic,26.29764785,
7/24/2023,HEAT-Control,26.1578069,
7/24/2023,HEAT-Effluent,26.01286962,
7/24/2023,HEAT-Guano,26.01124552,
7/24/2023,HEAT-Inorganic,26.07234543,
7/25/2023,AMB-Control,26.47638329,
7/25/2023,AMB-Effluent,26.34267473,
7/25/2023,AMB-Guano,26.23567988,
7/25/2023,AMB-Inorganic,26.38271729,
7/25/2023,HEAT-Control,26.42169579,
7/25/2023,HEAT-Effluent,26.27936268,
7/25/2023,HEAT-Guano,26.26818996,
7/25/2023,HEAT-Inorganic,26.36227599,
7/26/2023,AMB-Control,26.61961246,
7/26/2023,AMB-Effluent,26.49892473,
7/26/2023,AMB-Guano,26.42404794,
7/26/2023,AMB-Inorganic,26.54764785,
7/26/2023,HEAT-Control,26.52065412,
7/26/2023,HEAT-Effluent,26.36356407,
7/26/2023,HEAT-Guano,26.40534274,
7/26/2023,HEAT-Inorganic,26.4577621,
7/27/2023,AMB-Control,26.58141801,
7/27/2023,AMB-Effluent,26.43468862,
7/27/2023,AMB-Guano,26.39453405,
7/27/2023,AMB-Inorganic,26.49296035,
7/27/2023,HEAT-Control,26.43732079,
7/27/2023,HEAT-Effluent,26.31582101,
7/27/2023,HEAT-Guano,26.34023858,
7/27/2023,HEAT-Inorganic,26.38310932,
7/28/2023,AMB-Control,26.14565412,
7/28/2023,AMB-Effluent,26.00413306,
7/28/2023,AMB-Guano,25.99349238,
7/28/2023,AMB-Inorganic,26.07195341,
7/28/2023,HEAT-Control,25.85051523,
7/28/2023,HEAT-Effluent,25.71425851,
7/28/2023,HEAT-Guano,25.77773858,
7/28/2023,HEAT-Inorganic,25.78415099,
7/29/2023,AMB-Control,26.34270273,
7/29/2023,AMB-Effluent,26.22548723,
7/29/2023,AMB-Guano,26.16623544,
7/29/2023,AMB-Inorganic,26.25424507,
7/29/2023,HEAT-Control,26.00676523,
7/29/2023,HEAT-Effluent,25.88613351,
7/29/2023,HEAT-Guano,25.9296483,
7/29/2023,HEAT-Inorganic,25.92303987,
7/30/2023,AMB-Control,26.26110551,
7/30/2023,AMB-Effluent,26.16038306,
7/30/2023,AMB-Guano,26.12804099,
7/30/2023,AMB-Inorganic,26.19087702,
7/30/2023,HEAT-Control,25.98766801,
7/30/2023,HEAT-Effluent,25.87832101,
7/30/2023,HEAT-Guano,25.92096774,
7/30/2023,HEAT-Inorganic,25.90047043,
7/31/2023,AMB-Control,26.13784162,
7/31/2023,AMB-Effluent,26.08399418,
7/31/2023,AMB-Guano,25.98047155,
7/31/2023,AMB-Inorganic,26.09625896,
7/31/2023,HEAT-Control,25.79756384,
7/31/2023,HEAT-Effluent,25.73335573,
7/31/2023,HEAT-Guano,25.69700941,
7/31/2023,HEAT-Inorganic,25.73814404,
8/1/2023,AMB-Control,26.08662634,
8/1/2023,AMB-Effluent,25.96333445,
8/1/2023,AMB-Guano,25.92752016,
8/1/2023,AMB-Inorganic,26.01726591,
8/1/2023,HEAT-Control,25.68992496,
8/1/2023,HEAT-Effluent,25.58491823,
8/1/2023,HEAT-Guano,25.61454413,
8/1/2023,HEAT-Inorganic,25.61053987,
8/2/2023,AMB-Control,26.17082773,
8/2/2023,AMB-Effluent,26.03451501,
8/2/2023,AMB-Guano,25.97613127,
8/2/2023,AMB-Inorganic,26.12577285,
8/2/2023,HEAT-Control,25.9703069,
8/2/2023,HEAT-Effluent,25.86356407,
8/2/2023,HEAT-Guano,25.87235663,
8/2/2023,HEAT-Inorganic,25.8874496,
8/3/2023,AMB-Control,26.1343694,
8/3/2023,AMB-Effluent,25.9546539,
8/3/2023,AMB-Guano,25.97526322,
8/3/2023,AMB-Inorganic,26.06674507,
8/3/2023,HEAT-Control,26.22551523,
8/3/2023,HEAT-Effluent,26.14568212,
8/3/2023,HEAT-Guano,26.11541219,
8/3/2023,HEAT-Inorganic,26.15133849,
8/4/2023,AMB-Control,25.88089718,
8/4/2023,AMB-Effluent,25.73677195,
8/4/2023,AMB-Guano,25.70182572,
8/4/2023,AMB-Inorganic,25.84105063,
8/4/2023,HEAT-Control,26.17950829,
8/4/2023,HEAT-Effluent,26.15089046,
8/4/2023,HEAT-Guano,26.0312108,
8/4/2023,HEAT-Inorganic,26.13571349,
8/5/2023,AMB-Control,26.11353607,
8/5/2023,AMB-Effluent,25.96507056,
8/5/2023,AMB-Guano,25.92231183,
8/5/2023,AMB-Inorganic,26.07455757,
8/5/2023,HEAT-Control,26.14652218,
8/5/2023,HEAT-Effluent,26.09967518,
8/5/2023,HEAT-Guano,25.99648858,
8/5/2023,HEAT-Inorganic,26.07928987,
8/6/2023,AMB-Control,26.3843694,
8/6/2023,AMB-Effluent,26.24198029,
8/6/2023,AMB-Guano,26.23133961,
8/6/2023,AMB-Inorganic,26.35754368,
8/6/2023,HEAT-Control,26.34877912,
8/6/2023,HEAT-Effluent,26.30366823,
8/6/2023,HEAT-Guano,26.23259969,
8/6/2023,HEAT-Inorganic,26.29109543,
8/7/2023,AMB-Control,26.51284162,
8/7/2023,AMB-Effluent,26.38260529,
8/7/2023,AMB-Guano,26.35633961,
8/7/2023,AMB-Inorganic,26.45042563,
8/7/2023,HEAT-Control,26.42256384,
8/7/2023,HEAT-Effluent,26.35401546,
8/7/2023,HEAT-Guano,26.35586358,
8/7/2023,HEAT-Inorganic,26.3718246,
8/8/2023,AMB-Control,26.34791107,
8/8/2023,AMB-Effluent,26.17861223,
8/8/2023,AMB-Guano,26.10894377,
8/8/2023,AMB-Inorganic,26.20997424,
8/8/2023,HEAT-Control,26.27673051,
8/8/2023,HEAT-Effluent,26.13352935,
8/8/2023,HEAT-Guano,26.19093302,
8/8/2023,HEAT-Inorganic,26.22425515,
8/9/2023,AMB-Control,26.17256384,
8/9/2023,AMB-Effluent,26.00500112,
8/9/2023,AMB-Guano,25.93880488,
8/9/2023,AMB-Inorganic,26.03028674,
8/9/2023,HEAT-Control,26.14825829,
8/9/2023,HEAT-Effluent,26.0172099,
8/9/2023,HEAT-Guano,26.05204413,
8/9/2023,HEAT-Inorganic,26.12529682,
8/10/2023,AMB-Control,25.89895833,
8/10/2023,AMB-Effluent,25.78943399,
8/10/2023,AMB-Guano,25.73944146,
8/10/2023,AMB-Inorganic,25.78144415,
8/10/2023,HEAT-Control,25.78454301,
8/10/2023,HEAT-Effluent,25.75766129,
8/10/2023,HEAT-Guano,25.81911589,
8/10/2023,HEAT-Inorganic,25.8182945,
8/11/2023,AMB-Control,26.24010417,
8/11/2023,AMB-Effluent,26.22635529,
8/11/2023,AMB-Guano,26.17665211,
8/11/2023,AMB-Inorganic,26.20216174,
8/11/2023,HEAT-Control,26.13263329,
8/11/2023,HEAT-Effluent,26.13526546,
8/11/2023,HEAT-Guano,26.27773858,
8/11/2023,HEAT-Inorganic,26.21036626,
8/12/2023,AMB-Control,26.425,
8/12/2023,AMB-Effluent,26.37739695,
8/12/2023,AMB-Guano,26.36588822,
8/12/2023,AMB-Inorganic,26.39487007,
8/12/2023,HEAT-Control,26.26544579,
8/12/2023,HEAT-Effluent,26.23856407,
8/12/2023,HEAT-Guano,26.38450941,
8/12/2023,HEAT-Inorganic,26.31192876,
8/13/2023,AMB-Control,26.39895833,
8/13/2023,AMB-Effluent,26.33225806,
8/13/2023,AMB-Guano,26.32074933,
8/13/2023,AMB-Inorganic,26.33150202,
8/13/2023,HEAT-Control,26.1890569,
8/13/2023,HEAT-Effluent,26.20036962,
8/13/2023,HEAT-Guano,26.3515233,
8/13/2023,HEAT-Inorganic,26.2702621,
8/14/2023,AMB-Control,26.15677083,
8/14/2023,AMB-Effluent,26.12392473,
8/14/2023,AMB-Guano,26.11328405,
8/14/2023,AMB-Inorganic,26.10320341,
8/14/2023,HEAT-Control,26.14304996,
8/14/2023,HEAT-Effluent,26.15609879,
8/14/2023,HEAT-Guano,26.27773858,
8/14/2023,HEAT-Inorganic,26.21991487,
8/15/2023,AMB-Control,26.24921875,
8/15/2023,AMB-Effluent,26.1968414,
8/15/2023,AMB-Guano,26.22960349,
8/15/2023,AMB-Inorganic,26.20823813,
8/15/2023,HEAT-Control,26.24721662,
8/15/2023,HEAT-Effluent,26.23943212,
8/15/2023,HEAT-Guano,26.40273858,
8/15/2023,HEAT-Inorganic,26.38050515,
8/16/2023,AMB-Control,26.1359375,
8/16/2023,AMB-Effluent,26.07704973,
8/16/2023,AMB-Guano,26.07856183,
8/16/2023,AMB-Inorganic,26.05198813,
8/16/2023,HEAT-Control,26.1109319,
8/16/2023,HEAT-Effluent,26.09446685,
8/16/2023,HEAT-Guano,26.22305108,
8/16/2023,HEAT-Inorganic,26.20255376,
8/17/2023,AMB-Control,26.19322917,
8/17/2023,AMB-Effluent,26.1343414,
8/17/2023,AMB-Guano,26.14800627,
8/17/2023,AMB-Inorganic,26.14400202,
8/17/2023,HEAT-Control,26.36700829,
8/17/2023,HEAT-Effluent,26.32363351,
8/17/2023,HEAT-Guano,26.45742608,
8/17/2023,HEAT-Inorganic,26.42911626,
8/18/2023,AMB-Control,26.46536458,
8/18/2023,AMB-Effluent,26.37305668,
8/18/2023,AMB-Guano,26.39453405,
8/18/2023,AMB-Inorganic,26.38098118,
8/18/2023,HEAT-Control,26.5171819,
8/18/2023,HEAT-Effluent,26.56129872,
8/18/2023,HEAT-Guano,26.58676635,
8/18/2023,HEAT-Inorganic,26.59578293,
8/19/2023,AMB-Control,26.58515625,
8/19/2023,AMB-Effluent,26.4780914,
8/19/2023,AMB-Guano,26.50390905,
8/19/2023,AMB-Inorganic,26.50164091,
8/19/2023,HEAT-Control,26.58489023,
8/19/2023,HEAT-Effluent,26.63551747,
8/19/2023,HEAT-Guano,26.6405858,
8/19/2023,HEAT-Inorganic,26.67911626,
8/20/2023,AMB-Control,26.56822917,
8/20/2023,AMB-Effluent,26.49805668,
8/20/2023,AMB-Guano,26.49436044,
8/20/2023,AMB-Inorganic,26.51900202,
8/20/2023,HEAT-Control,26.57273746,
8/20/2023,HEAT-Effluent,26.64984039,
8/20/2023,HEAT-Guano,26.63798163,
8/20/2023,HEAT-Inorganic,26.6765121,
8/21/2023,AMB-Control,26.73619792,
8/21/2023,AMB-Effluent,26.70291779,
8/21/2023,AMB-Guano,26.58377016,
8/21/2023,AMB-Inorganic,26.66136313,
8/21/2023,HEAT-Control,26.51891801,
8/21/2023,HEAT-Effluent,26.55088206,
8/21/2023,HEAT-Guano,26.6093358,
8/21/2023,HEAT-Inorganic,26.58623432,
8/22/2023,AMB-Control,26.78828125,
8/22/2023,AMB-Effluent,26.73069556,
8/22/2023,AMB-Guano,26.74522849,
8/22/2023,AMB-Inorganic,26.77768257,
8/22/2023,HEAT-Control,26.34877912,
8/22/2023,HEAT-Effluent,26.39332997,
8/22/2023,HEAT-Guano,26.46610663,
8/22/2023,HEAT-Inorganic,26.33710237,
8/23/2023,AMB-Control,26.61901042,
8/23/2023,AMB-Effluent,26.56750112,
8/23/2023,AMB-Guano,26.57248544,
8/23/2023,AMB-Inorganic,26.61535618,
8/23/2023,HEAT-Control,26.17256384,
8/23/2023,HEAT-Effluent,26.19671539,
8/23/2023,HEAT-Guano,26.28294691,
8/23/2023,HEAT-Inorganic,26.17303987,
8/24/2023,AMB-Control,26.52395833,
8/24/2023,AMB-Effluent,26.4702789,
8/24/2023,AMB-Guano,26.46658266,
8/24/2023,AMB-Inorganic,26.49903674,
8/24/2023,HEAT-Control,25.93471662,
8/24/2023,HEAT-Effluent,25.99619456,
8/24/2023,HEAT-Guano,26.06332885,
8/24/2023,HEAT-Inorganic,25.97425515,
8/25/2023,AMB-Control,26.4015625,
8/25/2023,AMB-Effluent,26.3374664,
8/25/2023,AMB-Guano,26.33897849,
8/25/2023,AMB-Inorganic,26.40614079,
8/25/2023,HEAT-Control,25.93298051,
8/25/2023,HEAT-Effluent,26.01832997,
8/25/2023,HEAT-Guano,26.06593302,
8/25/2023,HEAT-Inorganic,25.9343246,
8/26/2023,AMB-Control,26.22708333,
8/26/2023,AMB-Effluent,26.16385529,
8/26/2023,AMB-Guano,26.17057572,
8/26/2023,AMB-Inorganic,26.24207829,
8/26/2023,HEAT-Control,25.76544579,
8/26/2023,HEAT-Effluent,25.84254872,
8/26/2023,HEAT-Guano,25.90187052,
8/26/2023,HEAT-Inorganic,25.77286626,
8/27/2023,AMB-Control,25.98359375,
8/27/2023,AMB-Effluent,25.93468862,
8/27/2023,AMB-Guano,25.93967294,
8/27/2023,AMB-Inorganic,25.99468246,
8/27/2023,HEAT-Control,25.59270273,
8/27/2023,HEAT-Effluent,25.64984039,
8/27/2023,HEAT-Guano,25.69614135,
8/27/2023,HEAT-Inorganic,25.58710237,
8/28/2023,AMB-Control,25.87161458,
8/28/2023,AMB-Effluent,25.81229279,
8/28/2023,AMB-Guano,25.80425627,
8/28/2023,AMB-Inorganic,25.92176579,
8/28/2023,HEAT-Control,26.59009857,
8/28/2023,HEAT-Effluent,26.65244456,
8/28/2023,HEAT-Guano,26.7343358,
8/28/2023,HEAT-Inorganic,26.58189404,
8/29/2023,AMB-Control,25.80520833,
8/29/2023,AMB-Effluent,25.7905914,
8/29/2023,AMB-Guano,25.80338822,
8/29/2023,AMB-Inorganic,25.87879704,
8/29/2023,HEAT-Control,27.77673051,
8/29/2023,HEAT-Effluent,27.85687164,
8/29/2023,HEAT-Guano,27.94353719,
8/29/2023,HEAT-Inorganic,27.78328293,
8/30/2023,AMB-Control,26.63463542,
8/30/2023,AMB-Effluent,26.57010529,
8/30/2023,AMB-Guano,26.59245072,
8/30/2023,AMB-Inorganic,26.58843246,
8/30/2023,HEAT-Control,28.64044579,
8/30/2023,HEAT-Effluent,28.75530914,
8/30/2023,HEAT-Guano,28.72391913,
8/30/2023,HEAT-Inorganic,28.66175515,
8/31/2023,AMB-Control,26.25442708,
8/31/2023,AMB-Effluent,26.10482751,
8/31/2023,AMB-Guano,26.18012433,
8/31/2023,AMB-Inorganic,26.15483871,
8/31/2023,HEAT-Control,29.74461246,
8/31/2023,HEAT-Effluent,29.76963206,
8/31/2023,HEAT-Guano,29.76905802,
8/31/2023,HEAT-Inorganic,29.72859543,
9/1/2023,AMB-Control,26.37291667,
9/1/2023,AMB-Effluent,26.13868168,
9/1/2023,AMB-Guano,26.19227711,
9/1/2023,AMB-Inorganic,26.17567204,
9/1/2023,HEAT-Control,30.68732079,
9/1/2023,HEAT-Effluent,30.64202789,
9/1/2023,HEAT-Guano,30.65273858,
9/1/2023,HEAT-Inorganic,30.67043571,
9/2/2023,AMB-Control,26.28177083,
9/2/2023,AMB-Effluent,26.02149418,
9/2/2023,AMB-Guano,26.08637433,
9/2/2023,AMB-Inorganic,26.08973454,
9/2/2023,HEAT-Control,30.74461246,
9/2/2023,HEAT-Effluent,30.74619456,
9/2/2023,HEAT-Guano,30.69614135,
9/2/2023,HEAT-Inorganic,30.73988015,
9/3/2023,AMB-Control,26.3234375,
9/3/2023,AMB-Effluent,26.12479279,
9/3/2023,AMB-Guano,26.16970766,
9/3/2023,AMB-Inorganic,26.19259913,
9/3/2023,HEAT-Control,30.82273746,
9/3/2023,HEAT-Effluent,30.81390289,
9/3/2023,HEAT-Guano,30.7577733,
9/3/2023,HEAT-Inorganic,30.7936996,
9/4/2023,AMB-Control,27.00833333,
9/4/2023,AMB-Effluent,26.9077789,
9/4/2023,AMB-Guano,26.93967294,
9/4/2023,AMB-Inorganic,26.96473454,
9/4/2023,HEAT-Control,30.91388329,
9/4/2023,HEAT-Effluent,30.98968414,
9/4/2023,HEAT-Guano,30.93659274,
9/4/2023,HEAT-Inorganic,30.92303987,
9/5/2023,AMB-Control,26.5983631,
9/5/2023,AMB-Effluent,26.50388505,
9/5/2023,AMB-Guano,26.54135945,
9/5/2023,AMB-Inorganic,26.57001728,
9/5/2023,HEAT-Control,30.85051523,
9/5/2023,HEAT-Effluent,30.85575557,
9/5/2023,HEAT-Guano,30.87830901,
9/5/2023,HEAT-Inorganic,30.84590694,
9/6/2023,AMB-Control,27.19453125,
9/6/2023,AMB-Effluent,27.16298723,
9/6/2023,AMB-Guano,27.20008961,
9/6/2023,AMB-Inorganic,27.23426579,
9/6/2023,HEAT-Control,30.92169579,
9/6/2023,HEAT-Effluent,30.99749664,
9/6/2023,HEAT-Guano,31.09023858,
9/6/2023,HEAT-Inorganic,31.02373432,
9/7/2023,AMB-Control,27.32083333,
9/7/2023,AMB-Effluent,27.26281362,
9/7/2023,AMB-Guano,27.31988127,
9/7/2023,AMB-Inorganic,27.35926579,
9/7/2023,HEAT-Control,30.39912634,
9/7/2023,HEAT-Effluent,30.43239247,
9/7/2023,HEAT-Guano,30.54336358,
9/7/2023,HEAT-Inorganic,30.50376904,
9/8/2023,AMB-Control,27.32864583,
9/8/2023,AMB-Effluent,27.26889001,
9/8/2023,AMB-Guano,27.30338822,
9/8/2023,AMB-Inorganic,27.37489079,
9/8/2023,HEAT-Control,29.95815412,
9/8/2023,HEAT-Effluent,29.98968414,
9/8/2023,HEAT-Guano,30.10412746,
9/8/2023,HEAT-Inorganic,30.0749496,
9/9/2023,AMB-Control,26.94453125,
9/9/2023,AMB-Effluent,26.8765289,
9/9/2023,AMB-Guano,26.91363127,
9/9/2023,AMB-Inorganic,26.97124496,
9/9/2023,HEAT-Control,29.84877912,
9/9/2023,HEAT-Effluent,29.87510081,
9/9/2023,HEAT-Guano,30.02426635,
9/9/2023,HEAT-Inorganic,29.98033154,
9/10/2023,AMB-Control,26.74140625,
9/10/2023,AMB-Effluent,26.67166779,
9/10/2023,AMB-Guano,26.68793683,
9/10/2023,AMB-Inorganic,26.75249496,
9/10/2023,HEAT-Control,29.91041107,
9/10/2023,HEAT-Effluent,29.88161122,
9/10/2023,HEAT-Guano,30.04336358,
9/10/2023,HEAT-Inorganic,29.96644265,
9/11/2023,AMB-Control,26.55390625,
9/11/2023,AMB-Effluent,26.49284834,
9/11/2023,AMB-Guano,26.51953405,
9/11/2023,AMB-Inorganic,26.57410954,
9/11/2023,HEAT-Control,29.67516801,
9/11/2023,HEAT-Effluent,29.66155914,
9/11/2023,HEAT-Guano,29.80812052,
9/11/2023,HEAT-Inorganic,29.68866487,
9/12/2023,AMB-Control,26.37421875,
9/12/2023,AMB-Effluent,26.33225806,
9/12/2023,AMB-Guano,26.35547155,
9/12/2023,AMB-Inorganic,26.41525538,
9/12/2023,HEAT-Control,29.27586246,
9/12/2023,HEAT-Effluent,29.24879872,
9/12/2023,HEAT-Guano,29.34284274,
9/12/2023,HEAT-Inorganic,29.20428987,
9/13/2023,AMB-Control,26.85078125,
9/13/2023,AMB-Effluent,26.7437164,
9/13/2023,AMB-Guano,26.78776322,
9/13/2023,AMB-Inorganic,26.86317204,
9/13/2023,HEAT-Control,27.7593694,
9/13/2023,HEAT-Effluent,27.82301747,
9/13/2023,HEAT-Guano,27.83763441,
9/13/2023,HEAT-Inorganic,27.7233871,
9/14/2023,AMB-Control,26.54609375,
9/14/2023,AMB-Effluent,26.38781362,
9/14/2023,AMB-Guano,26.45008961,
9/14/2023,AMB-Inorganic,26.55848454,
9/14/2023,HEAT-Control,26.63610551,
9/14/2023,HEAT-Effluent,26.72926747,
9/14/2023,HEAT-Guano,26.76298163,
9/14/2023,HEAT-Inorganic,26.55324821,
9/15/2023,AMB-Control,26.72838542,
9/15/2023,AMB-Effluent,26.58312612,
9/15/2023,AMB-Guano,26.62196461,
9/15/2023,AMB-Inorganic,26.73035954,
9/15/2023,HEAT-Control,26.92777218,
9/15/2023,HEAT-Effluent,27.03395497,
9/15/2023,HEAT-Guano,27.0233983,
9/15/2023,HEAT-Inorganic,26.85272737,
9/16/2023,AMB-Control,27.07604167,
9/16/2023,AMB-Effluent,26.96680668,
9/16/2023,AMB-Guano,27.00043683,
9/16/2023,AMB-Inorganic,27.09494288,
9/16/2023,HEAT-Control,26.83402218,
9/16/2023,HEAT-Effluent,26.93760081,
9/16/2023,HEAT-Guano,26.94353719,
9/16/2023,HEAT-Inorganic,26.70428987,
9/17/2023,AMB-Control,26.66197917,
9/17/2023,AMB-Effluent,26.51541779,
9/17/2023,AMB-Guano,26.54036738,
9/17/2023,AMB-Inorganic,26.63791163,
9/17/2023,HEAT-Control,26.35485551,
9/17/2023,HEAT-Effluent,26.45452789,
9/17/2023,HEAT-Guano,26.45395385,
9/17/2023,HEAT-Inorganic,26.20949821,
9/18/2023,AMB-Control,26.22013889,
9/18/2023,AMB-Effluent,25.93922491,
9/18/2023,AMB-Guano,26.08203405,
9/18/2023,AMB-Inorganic,26.18782482,
9/19/2023,AMB-Control,26.32794579,
9/19/2023,AMB-Effluent,25.98783602,
9/19/2023,AMB-Guano,26.17317988,
9/19/2023,AMB-Inorganic,26.22559924,
9/20/2023,AMB-Control,26.34443884,
9/20/2023,AMB-Effluent,25.99174227,
9/20/2023,AMB-Guano,26.18793683,
9/20/2023,AMB-Inorganic,26.23427979,
9/21/2023,AMB-Control,26.20120968,
9/21/2023,AMB-Effluent,25.87846102,
9/21/2023,AMB-Guano,26.06467294,
9/21/2023,AMB-Inorganic,26.11014785,
9/22/2023,AMB-Control,25.97117496,
9/22/2023,AMB-Effluent,25.6297631,
9/22/2023,AMB-Guano,25.81727711,
9/22/2023,AMB-Inorganic,25.85407146,
9/23/2023,AMB-Control,26.12742496,
9/23/2023,AMB-Effluent,25.77559644,
9/23/2023,AMB-Guano,25.98307572,
9/23/2023,AMB-Inorganic,26.01118952,
9/24/2023,AMB-Control,25.91127912,
9/24/2023,AMB-Effluent,25.57247144,
9/24/2023,AMB-Guano,25.76866599,
9/24/2023,AMB-Inorganic,25.80980063,
9/25/2023,AMB-Control,25.90346662,
9/25/2023,AMB-Effluent,25.55684644,
9/25/2023,AMB-Guano,25.74870072,
9/25/2023,AMB-Inorganic,25.80285618,
9/26/2023,AMB-Control,25.74548051,
9/26/2023,AMB-Effluent,25.38236727,
9/26/2023,AMB-Guano,25.56120072,
9/26/2023,AMB-Inorganic,25.59452285,
9/27/2023,AMB-Control,25.73766801,
9/27/2023,AMB-Effluent,25.33028394,
9/27/2023,AMB-Guano,25.55772849,
9/27/2023,AMB-Inorganic,25.56587702,
9/28/2023,AMB-Control,25.9546819,
9/28/2023,AMB-Effluent,25.54773185,
9/28/2023,AMB-Guano,25.73567988,
9/28/2023,AMB-Inorganic,25.72820341,
9/29/2023,AMB-Control,26.32447357,
9/29/2023,AMB-Effluent,25.9188256,
9/29/2023,AMB-Guano,26.11675627,
9/29/2023,AMB-Inorganic,26.12230063,
9/30/2023,AMB-Control,26.30884857,
9/30/2023,AMB-Effluent,25.89408602,
9/30/2023,AMB-Guano,26.09505488,
9/30/2023,AMB-Inorganic,26.09886313,
10/1/2023,AMB-Control,26.33228607,
10/1/2023,AMB-Effluent,25.90450269,
10/1/2023,AMB-Guano,26.13064516,
10/1/2023,AMB-Inorganic,26.10493952,
10/2/2023,AMB-Control,26.47551523,
10/2/2023,AMB-Effluent,26.05554435,
10/2/2023,AMB-Guano,26.26606183,
10/2/2023,AMB-Inorganic,26.25858535,
10/3/2023,AMB-Control,26.61179996,
10/3/2023,AMB-Effluent,26.19096102,
10/3/2023,AMB-Guano,26.44574933,
10/3/2023,AMB-Inorganic,26.45129368,
10/4/2023,AMB-Control,26.85485551,
10/4/2023,AMB-Effluent,26.45528394,
10/4/2023,AMB-Guano,26.68793683,
10/4/2023,AMB-Inorganic,26.71952285,
10/5/2023,AMB-Control,27.08836246,
10/5/2023,AMB-Effluent,26.6766381,
10/5/2023,AMB-Guano,26.92057572,
10/5/2023,AMB-Inorganic,26.95216174,
10/6/2023,AMB-Control,27.13263329,
10/6/2023,AMB-Effluent,26.73262769,
10/6/2023,AMB-Guano,26.98481183,
10/6/2023,AMB-Inorganic,27.00337702,
10/7/2023,AMB-Control,26.99548051,
10/7/2023,AMB-Effluent,26.57898185,
10/7/2023,AMB-Guano,26.82508961,
10/7/2023,AMB-Inorganic,26.86448813,
10/8/2023,AMB-Control,26.80364023,
10/8/2023,AMB-Effluent,26.37064852,
10/8/2023,AMB-Guano,26.64019377,
10/8/2023,AMB-Inorganic,26.70823813,
10/9/2023,AMB-Control,26.4859319,
10/9/2023,AMB-Effluent,26.08158602,
10/9/2023,AMB-Guano,26.33897849,
10/9/2023,AMB-Inorganic,26.40528674,
